TrialNum,VisType,TruePercent,GuessPercent,Error,AdjError
62,voronoi,70,75,5,2.36
63,bar,69,66,3,1.64
64,treemap,53,47,6,2.61
65,bar,11,20,9,3.19
66,voronoi,98,80,18,4.18
67,bubble,10,5,5,2.36
68,treemap,44,33,11,3.48
69,bar,70,70,0,-3.0
70,treemap,63,55,8,3.02
71,voronoi,90,90,0,-3.0
72,bubble,93,100,7,2.83
73,bar,25,30,5,2.36
74,bubble,49,50,1,0.17
75,treemap,16,15,1,0.17
76,voronoi,75,65,10,3.34
77,treemap,93,95,2,1.09
78,bubble,19,15,4,2.04
79,bar,28,33,5,2.36
80,voronoi,66,60,6,2.61
